p,beta,classical_value,quantum_value,gap,classical_oracle_value,classical_oracle_abs_error,deterministic_strategy_count
0.95,0.01,0.99655,0.99655,0.0,0.99655,0.0,16
0.96,0.01,0.9976320000000001,0.9976320000000001,0.0,0.9976320000000001,0.0,16
0.97,0.01,0.998518,0.998518,0.0,0.998518,0.0,16
0.98,0.01,0.999208,0.999208,0.0,0.999208,0.0,16
0.99,0.01,0.999702,0.999702,0.0,0.999702,0.0,16
1.0,0.01,1.0,1.0,0.0,1.0,0.0,16
0.0,0.02,1.0,1.0,0.0,1.0,0.0,16
0.01,0.02,0.999504,0.999504,0.0,0.999504,0.0,16
0.02,0.02,0.9988159999999999,0.9988159999999999,0.0,0.9988159999999999,0.0,16
0.03,0.02,0.9979359999999999,0.9979359999999999,0.0,0.997936,1.1102230246251565e-16,16
0.04,0.02,0.996864,0.996864,0.0,0.996864,0.0,16
0.05,0.02,0.9956,0.9956,0.0,0.9955999999999999,1.1102230246251565e-16,16
0.06,0.02,0.9941439999999999,0.9941439999999999,0.0,0.9941439999999999,0.0,16
0.07,0.02,0.9924959999999999,0.9924959999999999,0.0,0.9924959999999999,0.0,16
0.08,0.02,0.990656,0.990656,0.0,0.990656,0.0,16
0.09,0.02,0.988624,0.9886240000000001,1.1102230246251565e-16,0.9886240000000002,2.220446049250313e-16,16
0.1,0.02,0.9864,0.9864,0.0,0.9864000000000002,1.1102230246251565e-16,16
0.11,0.02,0.983984,0.983984,0.0,0.983984,0.0,16
0.12,0.02,0.981376,0.981376,0.0,0.981376,0.0,16
0.13,0.02,0.978576,0.978576,0.0,0.978576,0.0,16
0.14,0.02,0.975584,0.975584,0.0,0.9755839999999999,1.1102230246251565e-16,16
0.15,0.02,0.9723999999999999,0.9723999999999999,0.0,0.9723999999999999,0.0,16
0.16,0.02,0.9690239999999999,0.9690239999999999,0.0,0.9690239999999999,0.0,16
