epsilon,alpha,t_env_seconds,classical_bias,quantum_bias,classical_win_probability,noisy_quantum_win_probability,noisy_gap,epsilon_threshold,required_trials,expected_quantum_wins,certification_p_value,previous_round_p_value,required_rate_hz,required_rate_khz,reference_hardware_rate_hz,reference_hardware_rate_pass
0.008,0.05,0.1,0.5,0.7071067811865475,0.75,0.8507249634685276,0.10072496346852755,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,400.0,0.4,7900.0,True
0.008,0.05,10.0,0.5,0.7071067811865475,0.75,0.8507249634685276,0.10072496346852755,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,4.0,0.004,7900.0,True
0.009,0.05,0.001,0.5,0.7071067811865475,0.75,0.8503714100779343,0.10037141007793426,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,40000.0,40.0,7900.0,False
0.009,0.05,0.1,0.5,0.7071067811865475,0.75,0.8503714100779343,0.10037141007793426,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,400.0,0.4,7900.0,True
0.009,0.05,10.0,0.5,0.7071067811865475,0.75,0.8503714100779343,0.10037141007793426,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,4.0,0.004,7900.0,True
0.01,0.05,0.001,0.5,0.7071067811865475,0.75,0.850017856687341,0.10001785668734098,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,40000.0,40.0,7900.0,False
0.01,0.05,0.1,0.5,0.7071067811865475,0.75,0.850017856687341,0.10001785668734098,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,400.0,0.4,7900.0,True
0.01,0.05,10.0,0.5,0.7071067811865475,0.75,0.850017856687341,0.10001785668734098,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,4.0,0.004,7900.0,True
0.011,0.05,0.001,0.5,0.7071067811865475,0.75,0.8496643032967477,0.09966430329674769,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,45000.0,45.0,7900.0,False
0.011,0.05,0.1,0.5,0.7071067811865475,0.75,0.8496643032967477,0.09966430329674769,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,450.0,0.45,7900.0,True
0.011,0.05,10.0,0.5,0.7071067811865475,0.75,0.8496643032967477,0.09966430329674769,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,4.5,0.0045,7900.0,True
0.012,0.05,0.001,0.5,0.7071067811865475,0.75,0.8493107499061545,0.09931074990615446,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,45000.0,45.0,7900.0,False
0.012,0.05,0.1,0.5,0.7071067811865475,0.75,0.8493107499061545,0.09931074990615446,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,450.0,0.45,7900.0,True
0.012,0.05,10.0,0.5,0.7071067811865475,0.75,0.8493107499061545,0.09931074990615446,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,4.5,0.0045,7900.0,True
0.013,0.05,0.001,0.5,0.7071067811865475,0.75,0.8489571965155611,0.09895719651556117,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,45000.0,45.0,7900.0,False
0.013,0.05,0.1,0.5,0.7071067811865475,0.75,0.8489571965155611,0.09895719651556117,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,450.0,0.45,7900.0,True
0.013,0.05,10.0,0.5,0.7071067811865475,0.75,0.8489571965155611,0.09895719651556117,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,4.5,0.0045,7900.0,True
0.014,0.05,0.001,0.5,0.7071067811865475,0.75,0.8486036431249679,0.09860364312496789,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,45000.0,45.0,7900.0,False
0.014,0.05,0.1,0.5,0.7071067811865475,0.75,0.8486036431249679,0.09860364312496789,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,450.0,0.45,7900.0,True
