probability_one,beta,classical_bias,quantum_bias,classical_value,quantum_value,gap,phase_offset,phase_step_1,phase_step_2,phase_step_3
0.65,0.01,0.54045,0.7059085796478908,0.7702249999999999,0.8529542898239454,0.08272928982394545,0.46396250116619825,4.889899553684878,4.889899553684878,4.889899553684878
0.66,0.01,0.546712,0.7082558258085588,0.7733559999999999,0.8541279129042794,0.08077191290427943,-0.4179212885112643,1.3707190324408227,1.3707190324408227,1.3707190324408227
0.67,0.01,0.553378,0.7110064225995772,0.776689,0.8555032112997887,0.07881421129978872,-0.3677436728649252,1.3466132353696967,1.3466132353696967,1.3466132353696967
0.68,0.01,0.5604480000000001,0.7141987009967663,0.780224,0.8570993504983832,0.07687535049838312,-0.3130951534236164,1.3208779063679417,1.3208779063679417,1.3208779063679417
0.69,0.01,0.567922,0.7178714252594498,0.783961,0.8589357126297249,0.07497471262972488,-0.25357113264313524,1.2933953821335944,1.2933953821335944,1.2933953821335944
0.7,0.01,0.5758,0.7220636733101419,0.7879,0.8610318366550709,0.07313183665507084,-0.18868128921298694,1.264015422518451,1.264015422518451,1.264015422518451
0.71,0.01,0.5877673199999999,0.7268147347367261,0.7938836599999999,0.8634073673683631,0.06952370736836322,0.11782910808035182,5.050637157321508,5.050637157321508,5.050637157321508
0.72,0.01,0.6120857599999999,0.7321640246706406,0.8060428799999999,0.8660820123353203,0.06003913233532043,-0.04028448198376011,1.1987545489318592,1.1987545489318592,1.1987545489318592
0.73,0.01,0.6358920399999999,0.7381510117861056,0.8179460199999999,0.8690755058930528,0.051129485893052884,0.04485380534558697,1.1623333883112075,1.1623333883112075,1.1623333883112075
0.74,0.01,0.65916288,0.7448151587229804,0.82958144,0.8724075793614903,0.04282613936149027,0.13871076478933098,1.122902762986889,1.122902762986889,1.122902762986889
0.75,0.01,0.681875,0.7521958733368473,0.8409375,0.8760979366684236,0.03516043666842361,-0.2427113733040803,5.203212011732125,5.203212011732125,5.203212011732125
0.76,0.01,0.70400512,0.7603324693067147,0.8520025600000001,0.8801662346533574,0.02816367465335734,0.35869456902399294,1.0329078858963716,1.0329078858963716,1.0329078858963716
