nu,p,beta,classical_value,noiseless_quantum_value,noisy_quantum_value,signed_noisy_gap,plotted_noisy_gap,theoretical_advantage
0.01,0.81,0.01,0.9608220000000001,0.9608220000000001,0.95621378,-0.004608220000000052,0.0,False
0.01,0.82,0.01,0.964648,0.964648,0.9600015199999999,-0.004646480000000008,0.0,False
0.01,0.83,0.01,0.968278,0.968278,0.96359522,-0.0046827799999999975,0.0,False
0.01,0.84,0.01,0.9717119999999999,0.971712,0.96699488,-0.004717119999999908,0.0,False
0.01,0.85,0.01,0.97495,0.97495,0.9702005,-0.004749499999999962,0.0,False
0.01,0.86,0.01,0.977992,0.977992,0.9732120799999999,-0.004779920000000049,0.0,False
0.01,0.87,0.01,0.980838,0.9808380000000001,0.97602962,-0.0048083799999999455,0.0,False
0.01,0.88,0.01,0.9834879999999999,0.983488,0.97865312,-0.004834879999999875,0.0,False
0.01,0.89,0.01,0.985942,0.985942,0.9810825799999999,-0.004859420000000059,0.0,False
0.01,0.9,0.01,0.9882,0.9882000000000001,0.983318,-0.004881999999999942,0.0,False
0.01,0.91,0.01,0.990262,0.990262,0.98535938,-0.004902619999999969,0.0,False
0.01,0.92,0.01,0.992128,0.992128,0.98720672,-0.004921280000000028,0.0,False
0.01,0.93,0.01,0.993798,0.9937980000000001,0.9888600200000001,-0.0049379799999998975,0.0,False
0.01,0.94,0.01,0.9952719999999999,0.995272,0.99031928,-0.0049527199999999105,0.0,False
0.01,0.95,0.01,0.99655,0.99655,0.9915845000000001,-0.004965499999999956,0.0,False
0.01,0.96,0.01,0.9976320000000001,0.9976320000000001,0.99265568,-0.004976320000000034,0.0,False
0.01,0.97,0.01,0.998518,0.998518,0.99353282,-0.0049851800000000335,0.0,False
0.01,0.98,0.01,0.999208,0.999208,0.99421592,-0.004992079999999954,0.0,False
0.01,0.99,0.01,0.999702,0.999702,0.99470498,-0.004997020000000019,0.0,False
0.01,1.0,0.01,1.0,1.0,0.995,-0.0050000000000000044,0.0,False
0.01,0.0,0.02,1.0,1.0,0.995,-0.0050000000000000044,0.0,False
0.01,0.01,0.02,0.999504,0.999504,0.99450896,-0.004995039999999951,0.0,False
0.01,0.02,0.02,0.9988159999999999,0.9988159999999999,0.9938278399999999,-0.004988160000000019,0.0,False
0.01,0.03,0.02,0.9979359999999999,0.9979359999999999,0.99295664,-0.004979359999999988,0.0,False
0.01,0.04,0.02,0.996864,0.996864,0.99189536,-0.004968639999999969,0.0,False
0.01,0.05,0.02,0.9956,0.9956,0.9906440000000001,-0.0049559999999999604,0.0,False
0.01,0.06,0.02,0.9941439999999999,0.9941439999999999,0.98920256,-0.004941439999999964,0.0,False
0.01,0.07,0.02,0.9924959999999999,0.9924959999999999,0.98757104,-0.004924959999999978,0.0,False
0.01,0.08,0.02,0.990656,0.990656,0.98574944,-0.004906560000000004,0.0,False
0.01,0.09,0.02,0.988624,0.9886240000000001,0.98373776,-0.004886239999999931,0.0,False
0.01,0.1,0.02,0.9864,0.9864,0.9815360000000001,-0.0048639999999999795,0.0,False
0.01,0.11,0.02,0.983984,0.983984,0.9791441599999999,-0.00483984000000004,0.0,False
0.01,0.12,0.02,0.981376,0.981376,0.97656224,-0.00481376,0.0,False
0.01,0.13,0.02,0.978576,0.978576,0.97379024,-0.004785759999999972,0.0,False
0.01,0.14,0.02,0.975584,0.975584,0.97082816,-0.004755839999999956,0.0,False
0.01,0.15,0.02,0.9723999999999999,0.9723999999999999,0.967676,-0.0047239999999999505,0.0,False
0.01,0.16,0.02,0.9690239999999999,0.9690239999999999,0.9643337599999999,-0.004690239999999957,0.0,False
0.01,0.17,0.02,0.965456,0.965456,0.96080144,-0.004654559999999974,0.0,False
0.01,0.18,0.02,0.9616960000000001,0.9616960000000001,0.9570790400000001,-0.004616960000000003,0.0,False
0.01,0.19,0.02,0.9577440000000002,0.957744,0.95316656,-0.004577440000000155,0.0,False
0.01,0.2,0.02,0.9536,0.9536000000000001,0.9490640000000001,-0.0045359999999998735,0.0,False
0.01,0.21,0.02,0.9492640000000001,0.949264,0.94477136,-0.004492640000000159,0.0,False
0.01,0.22,0.02,0.944736,0.944736,0.94028864,-0.004447360000000011,0.0,False
0.01,0.23,0.02,0.940016,0.940016,0.93561584,-0.004400159999999986,0.0,False
0.01,0.24,0.02,0.9351039999999999,0.935104,0.9307529600000001,-0.004351039999999862,0.0,False
0.01,0.25,0.02,0.9299999999999999,0.93,0.9257000000000001,-0.0042999999999998595,0.0,False
0.01,0.26,0.02,0.924704,0.924704,0.92045696,-0.00424703999999998,0.0,False
0.01,0.27,0.02,0.919216,0.919216,0.91502384,-0.00419216,0.0,False
0.01,0.28,0.02,0.9135359999999999,0.913536,0.90940064,-0.004135359999999921,0.0,False
0.01,0.29,0.02,0.907664,0.9076866773589738,0.903609810585384,-0.004054189414615994,0.0,False
0.01,0.3,0.02,0.9016,0.9020031840669921,0.8979831522263222,-0.003616847773677767,0.0,False
0.01,0.31,0.02,0.8953439999999999,0.8965969343502291,0.8926309650067269,-0.0027130349932730224,0.0,False
