nu,p,beta,classical_value,noiseless_quantum_value,noisy_quantum_value,signed_noisy_gap,plotted_noisy_gap,theoretical_advantage
0.01,0.32,0.02,0.8888959999999999,0.8914679282086848,0.8875532489265979,-0.001342751073401982,0.0,False
0.01,0.33,0.02,0.8822559999999999,0.886616165642359,0.8827500039859354,0.000494003985935465,0.000494003985935465,True
0.01,0.34,0.02,0.875424,0.8820416466512518,0.8782212301847393,0.002797230184739319,0.002797230184739319,True
0.01,0.35,0.02,0.8684000000000001,0.8777443712353633,0.8739669275230096,0.005566927523009579,0.005566927523009579,True
0.01,0.36,0.02,0.861184,0.8737243393946934,0.8699870960007464,0.008803096000746469,0.008803096000746469,True
0.01,0.37,0.02,0.8537760000000001,0.8699815511292421,0.8662817356179497,0.012505735617949654,0.012505735617949654,True
0.01,0.38,0.02,0.846176,0.8665160064390094,0.8628508463746193,0.016674846374619245,0.016674846374619245,True
0.01,0.39,0.02,0.838384,0.8633277053239954,0.8596944282707555,0.021310428270755466,0.021310428270755466,True
0.01,0.4,0.02,0.8304,0.8604166477841999,0.8568124813063579,0.02641248130635787,0.02641248130635787,True
0.01,0.41,0.02,0.8222240000000001,0.8577828338196231,0.8542050054814269,0.031981005481426794,0.031981005481426794,True
0.01,0.42,0.02,0.8138560000000001,0.8554262634302648,0.8518720007959621,0.03801600079596201,0.03801600079596201,True
0.01,0.43,0.02,0.805296,0.8533469366161253,0.849813467249964,0.04451746724996397,0.04451746724996397,True
0.01,0.44,0.02,0.796544,0.8515448533772042,0.8480294048434321,0.051485404843432114,0.051485404843432114,True
0.01,0.45,0.02,0.7876000000000001,0.8500200137135019,0.8465198135763669,0.058919813576366775,0.058919813576366775,True
0.01,0.46,0.02,0.778464,0.8487724176250181,0.8452846934487679,0.06682069344876784,0.06682069344876784,True
0.01,0.47,0.02,0.769136,0.8478020651117529,0.8443240444606354,0.07518804446063532,0.07518804446063532,True
0.01,0.48,0.02,0.759616,0.8471089561737064,0.8436378666119694,0.08402186661196942,0.08402186661196942,True
0.01,0.49,0.02,0.7501,0.8466930908108784,0.8432261599027696,0.09312615990276962,0.09312615990276962,True
0.01,0.5,0.02,0.75,0.8465544690232691,0.8430889243330364,0.0930889243330364,0.0930889243330364,True
0.01,0.51,0.02,0.7501,0.8466930908108784,0.8432261599027696,0.09312615990276962,0.09312615990276962,True
0.01,0.52,0.02,0.759616,0.8471089561737064,0.8436378666119694,0.08402186661196942,0.08402186661196942,True
0.01,0.53,0.02,0.769136,0.8478020651117529,0.8443240444606354,0.07518804446063532,0.07518804446063532,True
0.01,0.54,0.02,0.778464,0.8487724176250181,0.8452846934487679,0.06682069344876784,0.06682069344876784,True
0.01,0.55,0.02,0.7876000000000001,0.8500200137135018,0.8465198135763667,0.058919813576366664,0.058919813576366664,True
0.01,0.56,0.02,0.796544,0.8515448533772042,0.8480294048434321,0.051485404843432114,0.051485404843432114,True
0.01,0.57,0.02,0.805296,0.8533469366161252,0.8498134672499639,0.04451746724996386,0.04451746724996386,True
0.01,0.58,0.02,0.8138559999999999,0.8554262634302648,0.8518720007959621,0.038016000795962235,0.038016000795962235,True
0.01,0.59,0.02,0.822224,0.857782833819623,0.8542050054814267,0.031981005481426794,0.031981005481426794,True
0.01,0.6,0.02,0.8304,0.8604166477841999,0.8568124813063579,0.02641248130635787,0.02641248130635787,True
0.01,0.61,0.02,0.838384,0.8633277053239953,0.8596944282707554,0.021310428270755355,0.021310428270755355,True
0.01,0.62,0.02,0.846176,0.8665160064390094,0.8628508463746193,0.016674846374619245,0.016674846374619245,True
0.01,0.63,0.02,0.8537760000000001,0.8699815511292421,0.8662817356179497,0.012505735617949654,0.012505735617949654,True
